# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
bread	хлеб
breakfast	завтрак
breast milk	грудное молоко
breeding	разведение растений и животных
breeding bird	птица в период размножения
breeding technique	методы животноводства
brick	кирпич
bridge	мост
bring	принести
broad-leaved tree	широколиственное дерево
broccoli	брокколи
bromine	бром
brooding	высиживание яиц
brook	ручей
brushwood	кустарниковые заросли
bryophyte	бриофиты (мхи и печеночники) ; бриофиты
bubble policy (emissions trading) ; bubble policy	политика зачета уровней выброса
budget	бюджет
budget policy	бюджетная политика
bug ; põrnikas	клоп
building	здание ; постройка
building area	строительные площади
building component	строительный элемент
building destruction	снос зданий
building industry	строительная индустрия
building land	земля под строительство
building material	строительный материал
building materials industry	промышленность стройматериалов
building permit	разрешение на строительство
building planning	планирование строительства
building regulation	нормативный документ в области строительства
building related illness ; sick building syndrome	синдром вредного помещения
building restoration	реконструкция зданий
building service	строительная услуга
building site	строительная площадка
building site preparation	подготовка строительной площадки
building technology	строительная технология
building waste	отходы строительства
built drainage system	система дренажа
built environment	созданная среда
built structure	строение
built-up area	застроенная территория
bulb cultivation	культивация луковиц
bulky waste	крупногабаритные мусор и отходы
bull	бык
bumblebee	шмель
bureaucracy	бюрократия
bureaucratisation	бюрократизация
bus ; coach	автобус
bus station	автобусная остановка
bush clearing	вырубка кустарников
business	бизнес
business activity	вид хозяйственной или коммерческой деятельности
business classification	классификация бизнеса
business economics	экономика предпринимательства
business organisation	организация бизнеса
business policy	политика в области развития бизнеса
butcher	мясник
butter	сливочное масло
butterfly	бабочка ; мотылёк
button ; clit ; clitoris	клитор
button-cell battery	элемент питания
buy ; purchase	покупать
buy ; purchase	закупка
by-catch	сопутствующий улов
by-product	сопутствующий продукт
cable	кабель
cactus	кактус
cadmium	кадмий
caesium	цезий
caffeine	кофеин
calcium	кальций
calcium content	содержание кальция
calculation	калькуляция
calculation method	метод калькуляции
caliber	калибр
calibration	калибровка
californium	калифорний
calligraphy	каллиграфия
camera	фотоаппарат
camouflage	камуфляж
camp ; military camp ; army camp ; campsite	лагерь
camping ; camping ground	кемпинг
camping site	площадка для кемпинга
canal	канал
canal lock	шлюз
cancer	рак
cancer risk	риск онкологического заболевания
candle	свечка ; свеча
canid	псовый
canyon	каньон
capital	столица
car ; automobile	автомобиль
car park	автомобильная стоянка
car tyre	автомобильная шина
carbohydrate	углевод
carbon	углерод
carbon dioxide	диоксид углерода
carbon dioxide tax	налог на выброс диоксид углерода
carbon monoxide	моноксид углерода
carbonate	карбонат
carcass disposal	утилизация трупов животных
carcinogen	канцероген
carcinogenicity	канцерогенность
carcinogenicity test	тест на канцерогенность
cardinal	кардинал
cardiology	кардиология
cardiovascular disease	сердечно-сосудистое заболевание
cardiovascular system	сердечно-сосудистая система
career	карьера
carnivore	плотоядный
carpet	ковëр
carry-over effect	эффект переноса
cartography	картография
case ; lawsuit ; trial	судебное разбирательство
cash crop	товарная сельскохозяйственная культура
castle	за́мок
cat	кот ; кошка
catalysis	катализ
catalyst	катализатор
catalytic converter	каталитический конвертер
catapult	катапульта
catastrophe	катастрофа
catch yield	улов
catchment	дренаж
catchment area	водосбор
category	категория
category of endangered species	исчезающий вид
cation	катион
cattle	скот
cauliflower	conopidă ; цветная капуста
cause-effect relation	причинно-следственная взаимосвязь
cave	пещера
caviar	икра
celery	сельдерей
cell ; cell	клетка ; клетка
cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο	гальвани́ческий элеме́нт ; элемент питания
cellulose	целлюлоза
cellulose industry	целлюлозная промышленность
cement	цемент
cement industry	цементная промышленность
cement manufacture	производство цемента
census survey	перепись населения
central government	правительство федерального уровня
central park area	центральная часть природного парка
centralisation	централизация
centrifugation	центрифугирование
cephalopod	цефалоподы
ceramics	керамика
ceramics industry	производство керамических изделий
cerium	церий
certification	сертификация
cetacean	китовые
chair	стул
chalk	мел
champagne	шампанское
change in value	изменение стоимости
channelling	системы распределения
chaos theory	теория хаоса
characteristic	атрибут ; свойство ; качество ; особенность ; признак
charcoal	древесный уголь
chart	официальный документ
chart ; nautical chart	морская карта
cheers ; thank you ; thanks	благодарность
cheese	сыр
cheetah ; chetah	гепард
chelicerate	клешневидный
chemical	химикат
chemical addition	реакция присоединения
chemical analysis	химический анализ
chemical composition	химический состав
chemical contamination	химическое заражение
chemical corrosivity	подверженность химической коррозии
chemical decontamination	химическая дезактивация
chemical element ; element	химический элемент ; элемент
chemical fallout	химические осадки
chemical fertiliser	химическое удобрение
chemical in the environment	химические вещества в окружающей среде
chemical industry	химическая промышленность
chemical installation	здание для химического производства
chemical measurement of pollution	химическое измерение уровня загрязнения
chemical oxygen demand	химическое потребление кислорода
chemical pest control	борьба с вредителями химическими методами
chemical plant	химический завод
chemical policy	политика в области химии
chemical pollutant	химическое загрязняющее вещество
chemical pollution	химическое загрязнение
chemical process	химический процесс
chemical product	химический продукт
chemical property	химические свойства
chemical reaction	химическая реакция
chemical reduction	химическое восстановление
chemical risk	риск от химического воздействия
chemical structure	химическая структура
chemical treatment	химическая обработка
chemical waste	химические отходы
chemical weapon	химическое оружие
chemicals act	закон в области использования химикатов
chemisorption	хемосорбция
chemist ; pharmacist	аптекарь
chemist's ; chemist's shop ; pharmacy	аптека
chemistry	химия
chess	șah ; шахматы
chestnut	каштан
chicken	курица ; курица ; куры ; куры ; петух ; петух
child	ребенок
chimney	труба
chimney height	высота трубы
chimpanzee	шимпанзе
chipmunk	азиатский ; сибирский бурундук
chiropteran	рукокрылые
chloride	хлорид
chlorinated hydrocarbon	хлорированный углеводород
chlorination	хлорирование
chlorine	хлор
chlorophenol	хлорофенол
chlorophyll	хлорофилл
chlorosis	хлороз
chocolate	шШоколад ; шоколад
cholesterol	холестеринc
chordate	хордовые
chorology	хорология
chromatographic analysis	хроматографический анализ
chromatography	хроматография
chromium	хром
chromosome	хромосома
chrysophyta	хризофита
church	церковь
cigar	сигара
cigarette	сигарета ; папироса
cinematographic film	кинофильм
circular mail	циркулярное письмо
citizen	гражданин
citizen awareness	осведомленность граждан
citizen initiative	гражданская инициатива
citizen rights	гражданские права
city	город
city centre	городской центр
civil air traffic	движение гражданского  воздушного транспорта
civil engineering	гражданское строительство
civil law	гражданское право
civil safety	гражданская оборона
civilian protection	гражданская оборона
claim for restitution	право подать иск на реституцию
clarinet	кларнет
classification	классификация
clay	глина
clean air area	район чистого воздуха
clean air car	"чистый" автомобиль ; чистый автомобиль
clean technology	чистая технология
cleaning up	расчистка
cleanliness	чистота
cleansing department	отдел очистки
clearing sludge	осадочный ил
cliff	скала
climate	климат
climate protection	защита климата
climate resource	климатический ресурс
climate type	тип климата
climatic alteration	локальное климатическое изменение
climatic change ; climate change	изменение климата
climatic effect	влияние климата
climatic experiment	климатический эксперимент
climatic zone	климатическая зона
climatology	климатология
climax	кульминация
climbing plant (wall) ; climbing plant	вьющееся растение
clinical symptom	клинический симптом
cloning	клонирование
closing down	закрытие
closing down of firm	закрытие фирмы
clothing ; apparel	одежда
clothing industry	производство одежды
cloud	облако
co-incineration	одновременное сжигание отходов
co-operation	сотрудничество
co-operation policy	политика сотрудничества
co-operation principle	принцип сотрудничества
co-ordinate system	система координат
co-ordination	координация
coagulation	коагуляция
coal	уголь
coal industry	угольная промышленность
coal liquefaction	ожижение угля
coal mining	добыча угля
coal refining	обогащение угля
coal technology	гидрогенизация угля
coal-based energy	производство энергии на основе угля
coal-fired power plant	теплоэлектростанция, работающая на угле
coast	берег
coast protection	охрана прибрежных районов
coastal area	береговая зона
coastal development	освоение морских прибрежных районов
coastal ecosystem	прибрежная экосистема
coastal environment	прибрежная среда
coastal fishing	прибрежное рыболовство
coastal pollution	загрязнение побережий
coastal water	прибрежные воды
coastal zone planning	планирование прибрежных зон
coastguard	спасательная служба на воде
coating	покрытие
cobalt	кобальт
cocaine	кокаин
cockroach	таракан
code	кодекс
code of practice	обычаи и практика
codification	кодификация
coelenterate	кишечнополостные
coffee	кофе
cogeneration	одновременная генерация тепла и электричества
coin ; money	монета
coke	кокс
cold	холод
coliform bacterium	колибактерии
colina ; hill ; loma	холм
collective wastewater treatment	очистка объединенных стоков
colloid	коллоид
colloidal state	коллоидное состояние
colonisation	колонизация
colony	колония
colour ; colour ; colo(u)r	цвет ; цвет ; цвет
colour composition	комбинированное цветное изображение
colourimetry	колориметрия
colubrid	змеи
combination effect	комбинированный эффект (биол.)
combined cycle-power station	тепловая электростанция на различных видах топлива
combined sewer system	комбинированная сточная система
combined transport	комбинированные перевозки
combined waste water	смешанные сточные воды
combustibility	способность к горению
combustion engine	двигатель внутреннего сгорания
combustion gas	выхлопной газ
combustion residue	продукты нагара
come	прийти ; приходить
comet	комета
commercial fishery	промышленная рыбная ловля
commercial law	коммерческое право
commercial noise	шум от производственной деятельности
commercial traffic	движение грузового транспорта
commercial transaction	коммерческая сделка
commercial vehicle	грузовое транспортное средство
commercialisation	коммерциализация
common agreement	общее соглашение
common agricultural policy ; common agricultural policy of the EU	"Единая сельскохозяйственная политика" ; Единая сельскохозяйственная политика
common commercial policy	единая политика в области коммерческой деятельности
common tariff policy	единая тарифная политика
communications	связь
communications industry	индустрия связи
communications policy	политика в области средств связи
communications system	система связи
communism	коммунизм
community facility ; public facility	общественное сооружение
community-pays principle	принцип "сообщество платит"
commuter traffic	пригородный транспорт
compaction	прессовка
company policy	политика компании
company structure	структура компании
comparative law	сравнительное право
comparative test	сравнительный тест
comparison	сравнение
compensation	компенсация
compensation for damage	компенсация ущерба
compensatory measure	компенсационная мера
compensatory tax	компенсационный налог
competition	биологическая конкуренция
competition law	закон о конкуренции
competitive examination	конкурсный отбор
competitiveness	конкурентоспособность
complex formation	формирование сложного соединения (хим.)
complexing agent	соединяющий реагент
composite pollution	смешанное загрязнение
composition of population	состав населения
compost	компост
compostable waste	компостные отходы
composting	компостирование
composting by producer	компостирование производителем
compound ; chemical compound	соединение ; xимическое соединение
compression	компрессия
compressor	компрессор
computer	компьютер
concentration	концентрация
concept of environment	экологическая концепция
concession	концессия
concrete	бетон
concrete products industry	производство изделий из бетона
condensation (process) ; condensation	конденсация (процесс) ; конденсация
conductivity ; electrical conductivity	проводимость
conflict	конфликт
conflict of aims	конфликт целей
conflict of interests	конфликт интересов
conflicting use	конфликт по вопросу права на использование
congress	конгресс
conifer	хвойные
coniferous forest	хвойный лес
coniferous tree	хвойное дерево
conservation	сохранение
conservation of monuments	сохранение памятников
conservation policy	политика сохранения природных ресурсов
constellation	созвездие
constitution	конституция
constitutional law	конституционное право
constructed language ; artificial language	искусственный язык
construction equipment	строительное оборудование
construction noise	строительный шум
construction policy	политика в области строительства
construction technology	строительная технология
construction with recycled material	строительство из вторичных материалов
construction work	строительная работа
consultancy	консультативная практика
consultation	консультация
consumer behaviour	поведение потребителя
consumer goods	потребительские товары
consumer group	группа потребителей
consumer information	информация для потребителя
consumer product	потребительский продукт
consumer protection	защита потребителя
consumer waste	бытовые отходы
consumption	потребление
consumption pattern	структура потребления
container	контейнер
containment (nuclear industry) ; containment	сдерживание (ядерная энергетика) ; сдерживание
contaminated soil	загрязненная почва
contamination	загрязнение
continent	континент
continental climate	континентальный климат
continental shelf	континентальный шельф
continuing education	непрерывное образование
continuous load	постоянное загрязнение
contour farming	сельскохозяйственные работы, осуществляемые по контуру
contract	контракт
control measure	меры контроля
controlled burning	огневая культивация
controlled hunting zone	регионы разрешенной охоты
controlling authority	контролирующие полномочия
conurbation	большой город с пригородами
convention	конвенция
conventional energy	традиционный источник энергии
cooling	охлаждение
cooling oil	охлаждающее масло
cooling tower	охлаждающая башня
cooling water	охлаждающая вода
copper	медь
coppice	подлесок
coppice with standards	выращивание подлеска
coral	коралл
coral reef	коралловый риф
coral reef lagoon	лагуна кораллового рифа
core meltdown	плавление стержня (атомн. энерг.) ; плавление стержня
cork	пробка
corridor	коридор
corrosion	коррозия
corrosion inhibitor	ингибитор коррозии
cosmetic industry	производство косметики
cosmic radiation	космическое излучение
cosmology	kосмология
cost	стоимость
cost increase	увеличение расходов
cost reduction	снижение расходов
cost-benefit	"затраты-выгоды"
cost-benefit analysis	анализ эффективности
cotton	хлопок
country ; nation ; state	государство
country lodge	дом в сельской местности, хутор
county	графство
court	суд
court of justice	суд
cove	пещера
covering ; roofing	покрытие
cow	корова
craft ; arts and crafts	ремесло
credit	кредит
credit assistance	кредитная помощь
credit policy	кредитная политика
creek	небольшой залив
crime	преступление
criminal law	уголовное право
criminal law procedure	процедура уголовного права
criminal liability	уголовная ответственность
criminality	преступление
crisis management	кризисное управление
critical level	критический уровень
critical load	критическая нагрузка
crocodile	крокодил
crop production	производство зерновых культур
crop protection	защита посевов
crop rotation	ротация сельскохозяйственных культур
crop treatment	обработка сельскохозяйственных культур химикатами
crossing place	дорожный переход
crossing place for animals	места для перехода животных
crossword	кроссворд
crucifix	распятие
crude oil	сырая нефть
cruising	круизы и морские путешествия
crustacean	ракообразные
cryptogam	споровые
crystallisation	кристаллизация
crystallography	кристаллография
cucumber	огурец
cultivated plant	культивируемое растение
cultivation ; tillage	культивация
cultivation method	метод культивации
cultivation of agricultural land	возделывание сельскохозяйственных земель
cultivation system	система культивации
cultural development	культурное развитие
cultural facility	учреждение культуры
cultural heritage	культурное наследие
cultural indicator	"культурный" показатель
cultural policy	политика в области культуры
culture	культура
curium	кюрий
currency	валюта
curriculum	кадровая анкета
customs	таможенные сборы
customs regulation	таможенный нормативный документ
customs tariff	таможенный тариф
cutting	рубка
cutting ; cutting (vegetative propagation)	черенок
cyanate	цианат
cyanide	цианид
cycle path	велосипедная дорожка
cyclone	циклон
cytology	цитология
cytotoxicity	цитотоксичность
dairy farm	молочная ферма
dairy industry	молочная промышленность
dairy product	молочный продукт
dam	дамба
dam draining	спуск водохранилища
damage	ущерб
damage assessment	оценка ущерба
damage from military manoeuvres	ущерб от военных маневров
damage insurance	страхование от ущерба
damage prevention	предотвращение ущерба
dance	танец
dandelion	одуванчик
danger analysis	анализ опасности
dangerous goods	опасные товары
dangerous goods law	законы в области использования опасных товаров
dangerous goods regulation	правила обращения с опасными товарами
dangerous installation	опасный объект
dangerous materials transport	транспортировка опасных материалов
darmstadtium	дармштадтий
data acquisition	получение данных
data analysis	анализ данных
data carrier	носитель данных
data centre	центр данных
data exchange	обмен данными
data on the state of the environment	данные о состоянии окружающей среды
data processing	обработка данных
data processing law	закон в области обработки данных и информации
data processing system	система обработка данных
data protection	защита данных
data recording technique	технология записи данных
database	база данных
dating	датирование
daughter	дочь
dazzle	ослеплять
de-inking	удаление типографской краски
deaf	глухой
death penalty ; capital punishment ; death sentence	смертная казн
debit	дебетовать
debt	долг
debt service	обслуживание долга (фин.-экон.)
decay product	продукт разложения
decentralisation	децентрализация
dechlorination	дехлорирование
decibel	децибел
deciduous forest ; deciduous wood	лиственный лес
deciduous tree	лиственное дерево
decision	решение
decision making support	поддержка процесса принятия решений
decision process	процесс принятия решения
decision-support system	система обеспечения принятия решений
declaration of public utility	объявление предприятием общественного назначения
decomposition	разложение
decontamination	дезактивация
decree	декрет
deep sea	открытое море
deep sea fishing	рыболовство в открытом море
deep sea mining	глубоководная разработка полезных ископаемых
deep-sea disposal	сброс в открытое море
deer	олень
defence	защита
defoliation	дефолиация
deforestation	сведение лесов
degradability	способность к разложению
degradation	деградация, разложение ; разложение ; деградация
degradation of natural resources	деградация природных ресурсов
degradation of the environment	вырождение окружающей среды
degradation product	продукт разложения
degreasing	удаление жира
dehydrated sludge	высушенный ил
delegated management	делегированное управление
delta	дельта реки
demand	спрос
demesnial water	водоем, находящийся в собственности государства
democracy	демократия
demographic development	демографическое развитие
demographic evolution	демографическая эволюция
demography	демография
demolition business	снос зданий и сооружений как вид деятельности
demolition waste	мусор от сноса зданий и сооружений
demonstrability	способность демонстрировать
dendrochronology ; tree-ring dating	дендрохронология
dendrometry	дендрометрия
denitrification	денитрификация
denitrification of waste gas	денитрификация газовых отходов
density	плотность
dentist	зубной врач
dentistry	стоматология
deposition	отложение осадочных материалов
deregulation	либерализация
dermatology	дерматология
desalination	опреснение
desalination plant	опреснительная установка
desert	пустыня
desert climate	пустынный климат
desert locust	саранча
desertification	опустынивание
desertification control	контроль за опустыниванием
design (project) ; design ; project design	чертеж
desk study	кабинетное исследование
desorption	десорбция
destination of transport	пункт назначения при транспортировке
desulphurisation	десульфуризация (обессеривание)
desulphurisation of fuel	десульфуризация (обессеривание) топлива
detection	обнаружение
detector	детектор
detergent	стиральный порошок
determination method	метод детерминации
deterrence	устрашение
deterrent	сдерживающий фактор
detoxification	обезвреживание ядовитых веществ
deuterium	Дейтерий
developed country	развитая страна
developing country	развивающаяся страна
development aid	помощь развитию
development area	развивающийся район
development co-operation	сотрудничество в области содействия развитию
development model	образец развития
development pattern	модель развития
development plan	план развития
devolution	передача обязанностей, функций, ответственности и пр.
dialysis	диализ
diary	дневник
diatom	диатомея
dictionary	словарь
didactics	дидактика
diesel engine	дизельный двигатель
diesel fuel ; diesel	дизельное топливо ; дизель
differentiation	биологическая дифференциация
difficult	трудный
diffuse pollution	загрязнение из различных источников
diffuse source	различные источники загрязнения
diffusion	диффузия
digested sludge	биологически переработанный осадок сточных вод
digester	автоклав
digestion	пищеварение
digestion	биологическая переработка
digital image processing technique	методы обработки цифровых изображений
digital land model	цифровая модель земной поверхности
digitising	оцифровка
diluted acid	разбавленная кислота
diocese ; diocese	епархия
dioxin	диоксин
dipteran	двукрылый
direct discharger	прямой выброс
directive	директива
disabled person	неполноценный человек
disaster	стихийное бедствие
disaster cleanup operation	устранение последствий стихийного бедствия
disaster contingency plan	чрезвычайный план на случай стихийного бедствия
disaster control service	служба по борьбе со стихийными бедствиями
disaster preparedness	готовность к стихийным бедствиям
disaster prevention	предупреждение стихийных бедствий
disaster relief	помощь при стихийных бедствиях ; помощь
disaster zone	зона бедствия
discharge regime	дебит реки
discrimination	дискриминация
disease ; illness ; affliction	болезнь
disease cause	причина болезни
disinfectant	дезинфицирующее средство
disinfection	дезинфекция
dispatch note	уведомление об отправке
dispersion	дисперсия
dispersion calculation	расчет дисперсии
displaced person	перемещенное лицо
disposal of the dead	погребальные услуги
disposal of warfare materials	утилизация материалов военного назначения
dissolution	растворение
dissolved organic carbon	растворенный органический углерод
dissolved oxygen	растворенный кислород
distillation	дистилляция
distortion of competition	нарушение условий конкуренции
distribution	распределение
distribution area	географические рамки действия юридического документа
distributive trade	оптовая и розничная торговля
district heating	районное централизованное теплоснабжение
district heating plant	коммунальная отопительная установка
disused military site	заброшенная военная площадка
ditch	канава
division	деление
divorce	развод
do	делать ; сделать
doctrine	доктрина
document	документ
document lending	выдача документов
document type	тип документа
documentary film	документальный фильм
documentary system	система документирования
documentation	документация
documentation centre	центр документации
dog	собака
doll	кукла
dolphin	дельфин
domestic appliance	бытовой прибор
domestic fuel	бытовое топливо
domestic fuel oil	бытовое жидкое топливо
domestic noise	бытовой шум
domestic pollution	загрязнение бытовыми отходами
domestic trade	внутренняя торговля
domestic waste	бытовой мусор
domestic waste landfill	свалка бытового мусора
domestic waste water	бытовые жидкие отходы
domesticated animal	домашнее животное
donation	пожертвование
donkey ; ass	осёл
door	дверь
dosage	дозировка
dose	доза
dose-effect relationship	взаимоотношение дозы и эффекта
draft legislation	проект законодательного документа
dragonfly	стрекоза
drainage	дренаж
drainage system	водосборная система
drainage water	поверхностная вода
draining	осушение
draught animal	рабочий скот
dream	спать
dredged material	осадок, полученный в результате землечерпательных работ
dredging	землечерпательные работы
dress	платье
dress ; clothe	одевать
drift net fishing	дрифтерный лов
drilling	бурение
drilling for oil	бурение нефтяных скважин
drilling installation	буровая установка
drink ; gulp ; quaff ; sip	пить
drinking water	питьевая вода
drinking water protection area	охраняемая территория вокруг источника питьевой воды
drinking water supply	обеспечение питьевой водой ; питьевое водоснабжение
drinking water treatment	обработка питьевой воды
dromedary	дромадер
drought	засуха
drought control	борьба с засухой
drug	лекарство
drunk ; drunkard ; boozer	алкоголик
dry cleaning	химическая чистка
dry deposition	сухое осаждение
dry farming	агротехнические приемы для засушливых районов
dry lawn	засушливая земля
drying	сушка
drying out	высыхание
dual economy	многоукладная экономика
dual waste management	принцип раздельного сбора городского мусора
dubnium	дубний
duck	утка
dumping	сброс мусора
dune	дюна
durable goods	товары длительного пользования
duration of sunshine	продолжительность солнечного дня
dust	пыль
dust removal	удаление пыли
dwelling	жилище
dye	краситель
dyke	дамба
dyke reinforcement	укрепление дамб
dyslexia	дислексия
dysprosium	диспрозий
ear	ухо
early	рано
early warning system	система раннего оповещения
earth ; Earth ; the world ; Blue Planet	Земля
earth science	наука о Земле
earth's crust ; crust ; Earth's crust	земная кора
earthquake	землетрясение
earthworm	земляной червь
earwig	уховертка
easement	сервитут
easy ; piece of cake ; like shooting fish in a barrel	лёгкий
eat	есть
echinoderm	иглокожие
eco-paediatrics	экопедиатрия
ecocatastrophe	экологическая катастрофа
ecodevelopment	экоразвитие
ecolabel	экоэтикетка
ecolabelling	экологическая маркировка
ecological abundance	экологическое изобилие
ecological adaptation	экологическая адаптация
ecological assessment	экологическая оценка
ecological balance	экологический баланс
ecological bookkeeping	бухгалтерский учет природоохранной деятельности
ecological carrying capacity	экологическая емкость
ecological community	экологическое сообщество
ecological factor	экологический фактор
ecological inequality	экологическое неравенство
ecological niche	экологическая ниша
ecological parameter	экологический параметр
ecological stocktaking	экологическая инвентаризация
ecologically sensitive area	экологически нестабильный регион
ecologist movement	движение экологов
ecology	экология
ecomarketing	экологическая торговля
ecomuseum	экомузей
economic activity	экономическая деятельность
economic analysis	экономический анализ
economic competition	экономическая конкуренция
economic concentration	рыночная концентрация
economic data	экономические данные
economic development	экономическое развитие
economic forecasting	экономическое прогнозирование
economic geography	экономическая география
economic growth	экономический рост
economic incentive	экономический стимул
economic instrument	экономический инструмент
economic management instrument	инструмент экономического управления
economic plan	экономический план
economic planning	экономическое планирование
economic policy	экономическая политика
economic region	экономический регион
economic rights	экономические права
economic science ; economics	экономика ; экономика (наука)
economic sector	экономический сектор
economic situation	экономическая ситуация
economic structure	экономическая структура
economic support	экономическая помощь
economic system	экономическая система
economic theory	экономическая теория
economic trend	экономическая тенденция
economic viability	экономическая жизнеспособность
economical-ecological efficiency	экономико-экологическая эффективность
economy	экономика
ecophysiology	экофизиология
ecosystem	экосистема
ecosystem analysis	анализ экосистем
ecosystem degradation	деградация экосистем
ecosystem research	исследования экосистем
ecosystem type	тип экосистемы
ecotourism	экотуризм
ecotoxicity	экотоксичность
ecotoxicological evaluation	экотоксикологическая оценка
ecotoxicology	экотоксикология
ecotype	экотип
ecozone	экозона
edaphology	почвоведение
edible fat	пищевой жир
education	образование
education policy	политика в области образования
educational institution	образовательное учреждение
educational path	учебная тропа
educational planning	планирование в области образования
educational system	система образования
effect	эффект (воздействие) ; эффект
effect on health	воздействие на здоровье
effect on man	воздействие на человека
effect on the environment ; environmental consequence	воздействие на окружающую среду ; последствия для окружающей среды
efficiency criterion	критерий эффективности
efficiency level	уровень эффективности
effluent	сточная вода
effort ; exertion	попытка
egg	яйцо
eight	восемь
einsteinium	эйнштейний
elasticity	эластичность
elbow	локоть
elder ; elderberry	бузина
elderly person	пожилой человек
electric battery	аккумулятор
electric line ; power line	линия электропередачи
electric power	сила тока
electric power plant	электростанция
electric power supply	обеспечение электроэнергией
electric vehicle	электромобиль
electrical engineering	электротехника
electrical goods industry	производство электротехнических изделий
electrical industry	производство электроэнергии
electricity	электричество
electricity company	электроэнергетическая компания
