# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
Dominican Republic	Доминиканская Республика
Dublin	Дублин
Dutch	нидерландский
EC Council of Ministers	Совет Министров ЕС (Совет Европейского Союза)
EC Treaty	"Римский Договор" ; Римский Договор
EC directive	директива ЕС
EC directive on biocides	директива ЕС по биоцидам
EC directive on waste disposal	директива ЕС по утилизации отходов
EC directive on water protection	директива ЕС по защите вод
EC ecolabel	экологическая маркировка в ЕС
EC policy	политика ЕС
EC regulation	постановление, нормативный документ ЕС
EC regulation on eco-management and audit	постановление ЕС об экоменеджменте и аудите
EC regulation on existing chemicals	постановление ЕС по известным химикатам
EIA (local)	экологическая экспертиза (местн.)
EIA ; environmental impact assessment	оценка воздействия на окружающую среду, экологическая экспертиза
EIA directive	директива ЕС по экологической экспертизе
EIA law	законы, регулирующие экологическую экспертизу
EU ; European Union	Европейский Союз
EU Council	Совет ЕС
Earth-Sun relationship	взаимосвязь Земли и Солнца
East Africa	Восточная Африка
East Timor ; Democratic Republic of Timor-Leste	Восточный Тимор
East-West relations	взаимоотношения "Восток-Запад"
East-West trade	торговля между Востоком и Западом
Easter	Пасха
Eastern Asia ; East Asia	Восточная Азия
Eastern Europe	Восточная Европа
Ecuador ; Republic of Ecuador	Эквадор
Egypt ; Arab Republic of Egypt	Египет
El Salvador ; Republic of El Salvador	Сальвадор
England	Англия
English	английский
English garden	английский сад
Epiphany	Крещение Господне
Equatorial Guinea ; Republic of Equatorial Guinea	Экваториальная Гвинея
Erevan ; Yerevan	Ереван ; Эривань
Eritrea	Эритрия
Esperanto ; Esperanto	эсперанто
Estonia ; Republic of Estonia	Эстония
Estonian	эстонский ; Эстонский
Ethiopia ; Federal Democratic Republic of Ethiopia	Эфиопия
Euratom	Евратом
Europe	Европа
European Commission	Европейская Комиссия
European Communities	Европейские Сообщества
European Court of Justice	Европейский Суд
European Environment Agency	Европейское агентство по охране окружающей среды
European Environmental Council	Европейский Совет по охране окружающей среды
European Monetary Fund	Европейский валютный фонд
European Monetary System ; EMS	Европейская валютная система
European Parliament	Европейский Парламент
European nature reserve	европейский природный заповедник
European standard	европейский стандарт
Falkland Islands	Фолклендские острова
Faroe Islands	Фарерские острова
Faroese ; Faeroese	фарерский
February	февраль
Fiji ; Republic of the Fiji Islands	Фиджи
Finland ; Republic of Finland	Финляндия
Finnish	финский
Flanders ; Flemish region	Фландрия
Flemish	фламандский
Flevoland	Флеволанд
France	Франция
French ; French	французский
French Guiana	Французская Гвиана
French Polynesia	Французская Полинезия
French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands	Teritoriile australe şi antarctice franceze ; Французские Южные и Антарктические Территории
French formal garden	французский сад
Frenchman	француз
Friday	пятница
Frisian ; Western Frisian	Фризский ; фризский
GDP ; gross domestic product	валовый внутренний продукт
GDR ; German Democratic Republic	ГДР ; Германская Демократическая Республика
GIS digital format	цифровой формат ГИС
GIS digital system	цифровая система ГИС
GIS digital technique	цифровые средства ГИС
GIS laboratory	лаборатория ГИС
Gabon ; Gabonese Republic	Габон
Gaborone	Габороне
Galician ; Galician	галисийский
Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia	Гамбия
Gaza Strip	Сектор Газа
Gemini	Близнецы
Georgia	Грузия
Georgia	Джорджия
Georgian ; Georgian	грузинский
German	немецкий
German	немец ; немка
German (Austria)	немецкий (Австрия)
German (Switzerland)	немецкий (Швейцария)
Germany ; Federal Republic of Germany	Германия
Ghana ; Republic of Ghana	Гана
Gibraltar	Гибралтар
Global Environment Facility ; GEF	"Глобальный экологический фонд" - ГЭФ ; Глобальный экологический фонд ; ГЭФ
Great Britain ; Britain	Великобритания
Greece ; Hellenic Republic	Греция
Greek ; Greek	греческий
Greenland	Гренландия
Grenada	Гренада
Guadeloupe	Гваделупа
Guam ; Guam ; Guam	Гуам
Guatemala ; Republic of Guatemala	Гватемала
Guinea ; Republic of Guinea	Гвинея
Guinea-Bissau ; Republic of Guinea-Bissau	Гвинея-Бисау
Gujarati ; Gujarati	гуджарати ; гуджаратский ; гуярати
Guyana ; Republic of Guyana	Гайана
H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)	Подтип H5N1 вируса гриппа A ; A(H5N1) ; H5N1
Haiti ; Republic of Haiti	Гаити
Hanover	Ганновер
Happy New Year	с Новым годом
Hebrew	иврит
Hercules	Геркулес
Hindi ; Hindi	хинди
Holland ; Kingdom of the Netherlands ; The Netherlands	Голландия
Honduras ; Republic of Honduras	Гондурас
Hungarian	венгерский
Hungary ; Republic of Hungary	Венгрия
I	я
IMCO code	код ИМКО (Межправительственная морская консультативная организация)
IMF ; International Monetary Fund	Международный валютный фонд
ISO standard	стандарт ИСО (Международной организации по стандартизации) ; стандарт ИСО
Iceland ; Republic of Iceland	Исландия
Icelandic	исландский
Ido ; Ido	идо
Iliad	Илиада
India ; Republic of India	Индия
Indian Ocean	Индийский океан
Indonesia ; Republic of Indonesia	Индонезия
Indonesian	индонезийский
Indre	Эндр
Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin	интерли́нгва
International Court of Justice	Международный Суд
Internet	Интернет
Iran ; Islamic Republic of Iran	Иран
Iraq ; Republic of Iraq	Ирак
Ireland ; Republic of Ireland	Ирландия
Irish ; Irish ; Irish Gaelic ; Irish	ирландский
Islam	ислам
Isle of Man ; Isle of Mann ; Mann	Остров Мэн
Israel ; State of Israel	Израиль
Italian ; Italian	итальянский
Italian Republic ; Italy	Италия
Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire	Кот-д'Ивуар
Jakarta ; Djakarta ; DKI Jakarta	Джакарта
Jamaica	Ямайка
January	январь
Japan ; State of Japan	Япония
Japanese ; Japanese	японский
Javanese	яванский
Jordan ; Hashemite Kingdom of Jordan	Иордания
Judaism	иудаизм ; иудейство
July	июль
June	июнь
Jupiter	Юпитер
Kalaallisut	гренландский
Kannada ; Kannada	каннада
Karelian	карельский
Kazakh ; Kazakh	казахский
Kazakhstan ; Republic of Kazakhstan	Казахстан
Kenya ; Republic of Kenya	Кения
Khartoum	Хартум
Khmer ; Central Khmer	кмер
Kiribati ; Republic of Kiribati	Кирибати
Korean ; Korean	корейский
Kosovo	Косово и Метохия
Krakow ; Cracow	Краков
Kuwait ; State of Kuwait	Кувейт
Kyoto	Киото
Kyrgyzstan ; Kyrgyz Republic	Киргизстан
Lagos	Лагос
Laos ; Lao People's Democratic Republic	Лаос
