# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Agatha Christie	Agatha Christie
Agnatha	Agnatha
Agnosticism	Agnosticismo
Agora	Agorà
Agoraphobia	Agorafobia
Agra	Agra (India)
Agriculture	Agricoltura
Agriculture	Categoria:Agricoltura
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Air force	Aeronautica militare
Airbus	Airbus
Aircraft	Aeromobile
Aircraft	Categoria:Aeroplani
Aircraft carrier	Portaerei
Airline	Compagnia aerea
Airport	Aeroporto
Ajax	Ajax
Ajax (mythology)	Aiace Telamonio
Ajax (programming)	AJAX
Akhenaten	Akhenaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaida
Alabama	Alabama
Alabama	Categoria:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanina
Alaska	Alaska
Alaska	Categoria:Alaska
Alban Berg	Alban Berg
Albania	Albania
Albania	Categoria:Albania
Albany	Albany (New York)
Albatross	Diomedeidae
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Categoria:Alberta
Albinism	Albinismo
Albite	Albite
Album	Album discografico
Albuquerque	Albuquerque
Alchemy	Alchimia
Alchemy	Categoria:Alchimia
Alcohol	Alcoli
Alcoholic beverage	Bevanda alcolica
Alcoholism	Alcolismo
Aldebaran	Aldebaran
Aldehyde	Aldeidi
Alder	Alnus
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Isaevič Solženicyn
Aleppo	Aleppo
Aleutian Islands	Isole Aleutine
Alexander	Alessandro
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Sergeevič Puškin
Alexander the Great	Alessandro Magno
Alexandre Dumas	Alexandre Dumas (padre)
Alexandre Dumas	Alexandre Dumas (figlio)
Alexandria	Alessandria d'Egitto
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfredo il Grande
Algae	Alga
Algebra	Algebra
Algebra	Categoria:Algebra
Algebraic number	Numero algebrico
Algeria	Algeria
Algeria	Categoria:Algeria
Algiers	Algeri
Algorithm	Algoritmo
Alhambra	Alhambra
Ali	Ali ibn Abi Talib
Alkali metal	Metalli alcalini
Alkaloid	Alcaloidi
Alkane	Alcani
Alkene	Alcheni
Alkyne	Alchini
Allah	Allah
Allegory	Allegoria
Allele	Allele
Allen Ginsberg	Allen Ginsberg
Allergy	Allergia
Alliteration	Allitterazione
Allophone	Allofono
Allosaurus	Allosaurus
Allotropy	Allotropia (chimica)
Alloy	Lega (metallurgia)
Almanac	Almanacco
Almaty	Almaty
Almond	Prunus dulcis
Aloe	Aloe (botanica)
Alpha (letter)	Alfa (lettera)
Alpha Centauri	Alfa Centauri
Alpha particle	Particella alfa
Alphabet	Alfabeto
Alps	Alpi
Alps	Categoria:Alpi
Alsace	Alsazia
